seed,model,phase2_accuracy,repeat_error_rate,transfer_accuracy_on_switched_mechanisms,reflection_steps_per_error,long_term_trajectory_value,final_H_self,final_transfer_memory,final_world_model_skill,final_ethical_reliability
13800,no_reflection,0.5773076923076923,0.42653846153846153,0.5770114942528736,0.0,0.1075384615384612,0.6,0.2,0.95,0.95
13800,fixed_reflection_x6,0.5703846153846154,0.43403846153846154,0.6013071895424836,6.0,0.08755865384615899,0.1,0.95,0.95,0.95
13800,adaptive_reflection,0.57,0.43,0.5376344086021505,5.369005328596803,0.09445625000000474,0.1,0.95,0.95,0.95
13800,brute_rumination_x8,0.558076923076923,0.4332692307692308,0.5663900414937759,8.0,0.11196538461538716,0.95,0.2,0.8678791952914292,0.814147221141963
13801,no_reflection,0.5673076923076923,0.4401923076923077,0.5653104925053534,0.0,0.10615384615384643,0.6,0.2,0.95,0.95
13801,fixed_reflection_x6,0.5911538461538461,0.4182692307692308,0.6239130434782608,6.0,0.13529519230769524,0.1,0.95,0.95,0.95
13801,adaptive_reflection,0.5684615384615385,0.4332692307692308,0.5833333333333334,5.308065226972235,0.11236346153846431,0.1,0.95,0.95,0.95
13801,brute_rumination_x8,0.5615384615384615,0.43884615384615383,0.5743243243243243,8.0,0.08596923076923454,0.95,0.2,0.8865441878700775,0.8527754699125025
13802,no_reflection,0.5769230769230769,0.41615384615384615,0.5919282511210763,0.0,0.13230769230769143,0.6,0.2,0.95,0.95
13802,fixed_reflection_x6,0.5715384615384616,0.4169230769230769,0.5608782435129741,6.0,0.1413153846153873,0.1,0.95,0.95,0.95
13802,adaptive_reflection,0.5784615384615385,0.42538461538461536,0.5717391304347826,5.283213644524237,0.0983793269230803,0.1,0.95,0.95,0.95
13802,brute_rumination_x8,0.5546153846153846,0.44769230769230767,0.5764966740576497,8.0,0.06340769230769505,0.95,0.2,0.8115943251958003,0.9426640488802085
13803,no_reflection,0.5715384615384616,0.4244230769230769,0.5454545454545454,0.0,0.11811538461538515,0.6,0.2,0.95,0.95
13803,fixed_reflection_x6,0.5746153846153846,0.42538461538461536,0.575,6.0,0.12215000000000509,0.1,0.95,0.95,0.95
13803,adaptive_reflection,0.578076923076923,0.41596153846153844,0.561822125813449,5.3258375401560345,0.13242067307692243,0.1,0.95,0.95,0.95
13803,brute_rumination_x8,0.5676923076923077,0.43903846153846154,0.6012526096033403,8.0,0.06927307692307816,0.95,0.2,0.7747283427754229,0.9292756152873848
13804,no_reflection,0.5526923076923077,0.43038461538461537,0.5606060606060606,0.0,0.13669230769230512,0.6,0.2,0.95,0.95
