dimension,tested_value,ethical_sense_reliability_realized,decision_accuracy,long_term_trajectory_value,geometric_maturity,deep_path_activation_rate
A_TF,0.2,0.7459892784582765,0.7054427083333333,0.40843684895832866,0.6303477025476499,0.6471484375
A_TF,0.3,0.7811222957404875,0.73009765625,0.4535716145833302,0.68359428945225,0.664375
A_TF,0.4,0.8148204169787802,0.7574088541666667,0.5062360026041669,0.7240793689926458,0.68439453125
A_TF,0.5,0.8468070646992466,0.781953125,0.5495602213541696,0.7571260274340416,0.7017643229166667
A_TF,0.6,0.8786454854020703,0.8101302083333334,0.6038626302083389,0.7852436357791666,0.7198828125
A_TF,0.75,0.9228600817444295,0.848671875,0.6753369140625086,0.8210818039912724,0.74638671875
C_T,0.2,0.8439214764687059,0.7803125,0.5472672526041693,0.6333211727795957,0.69892578125
C_T,0.3,0.8702681360848021,0.8016796875,0.5899117838541715,0.6868189339812918,0.7113997395833334
C_T,0.4,0.8928753959481367,0.8210546875,0.6246246744791731,0.7274949893567145,0.72130859375
C_T,0.5,0.9104520516389192,0.8371419270833333,0.6539980468750076,0.760697535183348,0.7290234375
C_T,0.6,0.9269639360242685,0.8517838541666667,0.6816471354166757,0.7889477796451271,0.7423177083333333
C_T,0.75,0.9399641887908319,0.8666927083333333,0.7073144531250101,0.8249550033260091,0.7570963541666667
I,0.2,0.7634650968244279,0.735859375,0.4620188802083305,0.6303477025476499,0.7669140625
I,0.3,0.7979520128114284,0.7621028645833333,0.5105657552083338,0.68359428945225,0.7677213541666666
I,0.4,0.8288160010179307,0.7856770833333333,0.5534371744791697,0.7240793689926458,0.76693359375
I,0.5,0.8583986347481554,0.8072200520833334,0.5945748697916721,0.7571260274340416,0.7667057291666667
I,0.6,0.8869077310203394,0.8295963541666667,0.6368444010416741,0.7852436357791666,0.7654557291666667
I,0.75,0.9262875801640731,0.85814453125,0.6919313151041762,0.8210818039912724,0.7643684895833334
R_C,0.2,0.8435883828119278,0.7850390625,0.5552229817708364,0.6333211727795957,0.7174153645833333
R_C,0.3,0.8724712262222506,0.8071744791666666,0.595098632812505,0.6868189339812918,0.72380859375
R_C,0.4,0.8950341059949406,0.8265755208333333,0.6346764322916736,0.7274949893567145,0.7319921875
R_C,0.5,0.9121172089276386,0.8416145833333333,0.6632473958333416,0.760697535183348,0.7410416666666667
R_C,0.6,0.9279120430528917,0.85447265625,0.6870224609375092,0.7889477796451271,0.7456184895833333
R_C,0.75,0.9401119735789207,0.8676953125,0.712872721354177,0.8249550033260091,0.7597330729166667
one_minus_H_self,0.2,0.8437638235358569,0.819921875,0.6138017578125071,0.636380837826249,0.8627669270833334
one_minus_H_self,0.3,0.87427802121353,0.8409895833333333,0.6542337239583423,0.6901370543537078,0.8468359375
one_minus_H_self,0.4,0.8945573990842275,0.8543489583333334,0.6834716796875101,0.7310096215626473,0.83056640625
one_minus_H_self,0.5,0.9149064660689391,0.8661002604166667,0.7031920572916772,0.7643725736306823,0.8154557291666666
one_minus_H_self,0.6,0.9287819148856009,0.8742903645833333,0.722232421875011,0.7927592990586034,0.8002734375
one_minus_H_self,0.75,0.9408761126719399,0.8753059895833334,0.7255403645833441,0.8289404787802094,0.7760416666666666
