seed,model,stage,A_TF,I,C_T,R_C,H_self,joint_maturity_product,joint_interaction,ethical_sensitivity,target_reliability,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,ethical_sense_reliability_realized,deep_path_activation_rate
10900,static_reliability,1,0.15091309171700915,0.21551693776270825,0.32667194211206796,0.2483206302261026,0.7399279862590467,0.2329621234042167,0.041929646415588086,0.6675592535142479,0.62,0.6063636363636363,0.6203319502074689,0.2736363636363636,0.639943741209564,0.0
10900,linear_internal_map,1,0.15091309171700915,0.21551693776270825,0.32667194211206796,0.2483206302261026,0.7399279862590467,0.2329621234042167,0.041929646415588086,0.6675592535142479,0.598088992234838,0.5936363636363636,0.6164948453608248,0.25545454545454543,0.6170212765957447,0.0
10900,multiplicative_threshold,1,0.15091309171700915,0.21551693776270825,0.32667194211206796,0.2483206302261026,0.7399279862590467,0.2329621234042167,0.041929646415588086,0.6675592535142479,0.559543633707306,0.610909090909091,0.6095617529880478,0.2545454545454545,0.5529411764705883,0.0
10900,static_reliability,2,0.2862802616863245,0.2757824680348617,0.36621036540329416,0.30656681299284855,0.8194018667922165,0.2759722520264299,0.07770171363840432,0.7158851606616057,0.62,0.6154545454545455,0.6011904761904762,0.25,0.6134228187919463,0.0
10900,linear_internal_map,2,0.2862802616863245,0.2757824680348617,0.36621036540329416,0.30656681299284855,0.8194018667922165,0.2759722520264299,0.07770171363840432,0.7158851606616057,0.6249617835731065,0.61,0.5920502092050209,0.25545454545454543,0.6179310344827587,0.0
10900,multiplicative_threshold,2,0.2862802616863245,0.2757824680348617,0.36621036540329416,0.30656681299284855,0.8194018667922165,0.2759722520264299,0.07770171363840432,0.7158851606616057,0.5823097250928871,0.6063636363636363,0.6325301204819277,0.2736363636363636,0.5539280958721704,0.0
10900,static_reliability,3,0.31501493095294036,0.28849443487862164,0.3974037441020615,0.36568102118598667,0.772827974249151,0.31291873146911153,0.09483963059234553,0.7220400860586216,0.62,0.6218181818181818,0.6153846153846154,0.29454545454545455,0.6236263736263736,0.0
10900,linear_internal_map,3,0.31501493095294036,0.28849443487862164,0.3974037441020615,0.36568102118598667,0.772827974249151,0.31291873146911153,0.09483963059234553,0.7220400860586216,0.6385666929925041,0.5827272727272728,0.5555555555555556,0.2190909090909091,0.629973474801061,0.0
10900,multiplicative_threshold,3,0.31501493095294036,0.28849443487862164,0.3974037441020615,0.36568102118598667,0.772827974249151,0.31291873146911153,0.09483963059234553,0.7220400860586216,0.5961580165132252,0.5963636363636363,0.5860113421550095,0.19818181818181818,0.5904761904761905,0.0
10900,static_reliability,4,0.4458199882875858,0.4514336969143909,0.5552116584152987,0.47233034350941105,0.7010493723640951,0.4361255001609385,0.19553519204084752,0.7615340299506452,0.62,0.6227272727272727,0.6387096774193548,0.30318181818181644,0.6150845253576073,0.2818181818181818
10900,linear_internal_map,4,0.4458199882875858,0.4514336969143909,0.5552116584152987,0.47233034350941105,0.7010493723640951,0.4361255001609385,0.19553519204084752,0.7615340299506452,0.6964679252089073,0.6527272727272727,0.721627408993576,0.40181818181817974,0.7164556962025317,0.2909090909090909
10900,multiplicative_threshold,4,0.4458199882875858,0.4514336969143909,0.5552116584152987,0.47233034350941105,0.7010493723640951,0.4361255001609385,0.19553519204084752,0.7615340299506452,0.6606273706861248,0.6418181818181818,0.6610526315789473,0.33395454545454323,0.6615581098339719,0.30272727272727273
10900,static_reliability,5,0.5881449958050385,0.631232681773155,0.718789830715174,0.6275057252092955,0.408659892089791,0.6297180864447517,0.38257543413113393,0.7714828975957215,0.62,0.6254545454545455,0.6223091976516634,0.238363636363632,0.6130653266331658,0.7236363636363636
10900,linear_internal_map,5,0.5881449958050385,0.631232681773155,0.718789830715174,0.6275057252092955,0.408659892089791,0.6297180864447517,0.38257543413113393,0.7714828975957215,0.7712166749487458,0.7218181818181818,0.7123287671232876,0.4184545454545395,0.7732997481108312,0.7218181818181818
10900,multiplicative_threshold,5,0.5881449958050385,0.631232681773155,0.718789830715174,0.6275057252092955,0.408659892089791,0.6297180864447517,0.38257543413113393,0.7714828975957215,0.7740309378951316,0.7290909090909091,0.7226720647773279,0.44477272727272177,0.7767741935483871,0.7045454545454546
