seed,model,final_holdout_recall,final_holdout_violation_rate,trap_capture_rate,trajectory_value,specialist_advice_rate,thirdfactor_review_rate,review_effective_change_rate,final_Q,composite
19400,PTVM,0.93,0.19,0.14354066985645933,0.7491431999999982,0.0,0.0,0.0,0.94,0.8526205060287079
19400,FULL_direct_A,0.89,0.23,0.09911141490088858,0.7293079999999982,0.0,0.0,0.0,0.94,0.835539317019822
19400,PTVM_advisory_A,0.93,0.2,0.2508544087491456,0.7397228000000012,0.4542,0.4542,0.2043152796125055,0.94,0.8040636782501712
19400,PTVM_advisory_A_highconf,0.93,0.19,0.18933697881066303,0.7455127999999989,0.1208,0.1208,0.1870860927152318,0.94,0.8366951642378673
19401,PTVM,0.924812030075188,0.2932330827067669,0.15563139931740613,0.7322679999999988,0.0,0.0,0.0,0.94,0.8194626584823833
19401,FULL_direct_A,0.8872180451127819,0.3308270676691729,0.10170648464163823,0.7190319999999987,0.0,0.0,0.0,0.94,0.8069237496882135
19401,PTVM_advisory_A,0.9323308270676691,0.2857142857142857,0.2348122866894198,0.739312800000002,0.4536,0.4536,0.19135802469135801,0.94,0.7864907793538457
19401,PTVM_advisory_A_highconf,0.924812030075188,0.2932330827067669,0.19726962457337885,0.7303475999999995,0.1226,0.1226,0.18760195758564438,0.94,0.8046209334311888
19402,PTVM,0.8956521739130435,0.28695652173913044,0.14611546685673557,0.6988831999999983,0.0,0.0,0.0,0.94,0.807510068367783
19402,FULL_direct_A,0.8434782608695652,0.3391304347826087,0.10691375623663578,0.665834399999998,0.0,0.0,0.0,0.94,0.7800449983178899
19402,PTVM_advisory_A,0.8347826086956521,0.34782608695652173,0.24091233071988596,0.6752228000000007,0.4394,0.4394,0.20710059171597633,0.94,0.7283703547255882
19402,PTVM_advisory_A_highconf,0.8956521739130435,0.28695652173913044,0.18032786885245902,0.6924863999999988,0.1128,0.1128,0.1773049645390071,0.94,0.7937482279686383
19403,PTVM,0.9295774647887324,0.2535211267605634,0.12994350282485875,0.7459543999999994,0.0,0.0,0.0,0.94,0.838695137181507
