seed,policy,long_term_trajectory_value,high_risk_accuracy,irreversible_violation_rate,deep_path_activation_rate,low_risk_opportunity_cost
9500,simple_decay_memory,0.23666666666666833,0.7,0.3,0.0,0.0
9500,binary_gate_v242,0.2906666666666715,0.7397058823529412,0.26029411764705884,0.23133333333333334,0.0
9500,continuous_authority,0.4946666666666737,0.8897058823529411,0.11029411764705882,0.22866666666666666,0.0
9500,always_deep,0.4509333333333361,0.8897058823529411,0.11029411764705882,1.0,0.07999999999999872
9500,oracle_cost_upper_bound,0.5666666666666742,0.9426470588235294,0.057352941176470586,0.20466666666666666,0.0
9501,simple_decay_memory,0.2204,0.6885964912280702,0.31140350877192985,0.0,0.0
9501,binary_gate_v242,0.2704000000000024,0.7251461988304093,0.27485380116959063,0.224,0.0
9501,continuous_authority,0.49240000000000717,0.8874269005847953,0.11257309941520467,0.24466666666666667,0.0
9501,always_deep,0.4488800000000042,0.8874269005847953,0.11257309941520467,1.0,0.07999999999999872
9501,oracle_cost_upper_bound,0.5744000000000078,0.9473684210526315,0.05263157894736842,0.21733333333333332,0.0
9502,simple_decay_memory,0.2549000000000006,0.7153075822603719,0.28469241773962806,0.0,0.0
9502,binary_gate_v242,0.2629000000000026,0.721030042918455,0.27896995708154504,0.22333333333333333,0.0
9502,continuous_authority,0.4749000000000073,0.8726752503576538,0.12732474964234622,0.24533333333333332,0.0
9502,always_deep,0.4321800000000044,0.8726752503576538,0.12732474964234622,1.0,0.07999999999999874
9502,oracle_cost_upper_bound,0.5749000000000082,0.944206008583691,0.055793991416309016,0.212,0.0
9503,simple_decay_memory,0.23630000000000154,0.7012987012987013,0.2987012987012987,0.0,0.0
9503,binary_gate_v242,0.310300000000005,0.7546897546897547,0.2453102453102453,0.23,0.0
9503,continuous_authority,0.4743000000000073,0.873015873015873,0.12698412698412698,0.236,0.0
9503,always_deep,0.43126000000000386,0.873015873015873,0.12698412698412698,1.0,0.07999999999999874
9503,oracle_cost_upper_bound,0.5663000000000078,0.9393939393939394,0.06060606060606061,0.20533333333333334,0.0
9504,simple_decay_memory,0.22090000000000143,0.6909871244635193,0.3090128755364807,0.0,0.0
9504,binary_gate_v242,0.2849000000000036,0.7367668097281831,0.2632331902718169,0.22266666666666668,0.0
9504,continuous_authority,0.48690000000000677,0.8812589413447782,0.11874105865522175,0.22533333333333333,0.0
9504,always_deep,0.4441800000000038,0.8812589413447782,0.11874105865522175,1.0,0.07999999999999874
9504,oracle_cost_upper_bound,0.5769000000000079,0.9456366237482118,0.05436337625178827,0.19533333333333333,0.0
9505,simple_decay_memory,0.20600000000000065,0.6742424242424242,0.32575757575757575,0.0,0.0
9505,binary_gate_v242,0.25800000000000317,0.7136363636363636,0.2863636363636364,0.222,0.0
9505,continuous_authority,0.4580000000000072,0.8651515151515151,0.13484848484848486,0.22866666666666666,0.0
9505,always_deep,0.413200000000006,0.8651515151515151,0.13484848484848486,1.0,0.07999999999999871
9505,oracle_cost_upper_bound,0.5440000000000081,0.9303030303030303,0.0696969696969697,0.2,0.0
9506,simple_decay_memory,0.23390000000000163,0.6965620328849028,0.3034379671150972,0.0,0.0
9506,binary_gate_v242,0.2939000000000053,0.7414050822122571,0.2585949177877429,0.22533333333333333,0.0
9506,continuous_authority,0.473900000000007,0.8759342301943199,0.12406576980568013,0.22333333333333333,0.0
9506,always_deep,0.429580000000004,0.8759342301943199,0.12406576980568013,1.0,0.07999999999999872
9506,oracle_cost_upper_bound,0.5579000000000083,0.9387144992526159,0.061285500747384154,0.19533333333333333,0.0
9507,simple_decay_memory,0.2766666666666698,0.7294117647058823,0.27058823529411763,0.0,0.0
9507,binary_gate_v242,0.2866666666666699,0.736764705882353,0.26323529411764707,0.23866666666666667,0.0
9507,continuous_authority,0.5046666666666738,0.8970588235294118,0.10294117647058823,0.232,0.0
9507,always_deep,0.4609333333333365,0.8970588235294118,0.10294117647058823,1.0,0.07999999999999872
9507,oracle_cost_upper_bound,0.5766666666666747,0.95,0.05,0.208,0.0
9508,simple_decay_memory,0.2163666666666671,0.6800618238021638,0.31993817619783615,0.0,0.0
9508,binary_gate_v242,0.2663666666666696,0.7187017001545595,0.28129829984544047,0.20666666666666667,0.0
9508,continuous_authority,0.49236666666667467,0.893353941267388,0.10664605873261206,0.21533333333333332,0.0
9508,always_deep,0.4468733333333378,0.893353941267388,0.10664605873261206,1.0,0.07999999999999871
9508,oracle_cost_upper_bound,0.546366666666675,0.9350850077279753,0.06491499227202473,0.19733333333333333,0.0
9509,simple_decay_memory,0.24416666666666864,0.7037593984962406,0.2962406015037594,0.0,0.0
9509,binary_gate_v242,0.2941666666666697,0.7413533834586467,0.2586466165413534,0.224,0.0
9509,continuous_authority,0.46216666666667305,0.8676691729323308,0.13233082706766916,0.22933333333333333,0.0
9509,always_deep,0.4176333333333373,0.8676691729323308,0.13233082706766916,1.0,0.07999999999999872
9509,oracle_cost_upper_bound,0.5561666666666746,0.9383458646616541,0.061654135338345864,0.198,0.0
9510,simple_decay_memory,0.23590000000000214,0.6980568011958147,0.30194319880418535,0.0,0.0
9510,binary_gate_v242,0.2939000000000036,0.7414050822122571,0.2585949177877429,0.20933333333333334,0.0
9510,continuous_authority,0.46790000000000675,0.8714499252615845,0.12855007473841554,0.21533333333333332,0.0
9510,always_deep,0.423580000000004,0.8714499252615845,0.12855007473841554,1.0,0.07999999999999872
9510,oracle_cost_upper_bound,0.5499000000000079,0.9327354260089686,0.06726457399103139,0.188,0.0
9511,simple_decay_memory,0.23070000000000193,0.6925418569254186,0.3074581430745814,0.0,0.0
9511,binary_gate_v242,0.2587000000000032,0.7138508371385084,0.2861491628614916,0.208,0.0
9511,continuous_authority,0.4787000000000078,0.8812785388127854,0.1187214611872146,0.228,0.0
9511,always_deep,0.43374000000000545,0.8812785388127854,0.1187214611872146,1.0,0.07999999999999871
9511,oracle_cost_upper_bound,0.5487000000000083,0.9345509893455098,0.0654490106544901,0.20466666666666666,0.0
9512,simple_decay_memory,0.22393333333333376,0.6940509915014165,0.3059490084985836,0.0,0.0
9512,binary_gate_v242,0.2619333333333353,0.7209631728045326,0.2790368271954674,0.232,0.0
9512,continuous_authority,0.4879333333333409,0.8810198300283286,0.11898016997167139,0.246,0.0
9512,always_deep,0.44558666666667257,0.8810198300283286,0.11898016997167139,1.0,0.07999999999999874
9512,oracle_cost_upper_bound,0.5839333333333419,0.9490084985835694,0.05099150141643059,0.214,0.0
9513,simple_decay_memory,0.19619999999999924,0.6635514018691588,0.3364485981308411,0.0,0.0
9513,binary_gate_v242,0.29020000000000373,0.7367601246105919,0.2632398753894081,0.202,0.0
9513,continuous_authority,0.43420000000000686,0.8489096573208723,0.15109034267912771,0.21266666666666667,0.0
9513,always_deep,0.38844000000000584,0.8489096573208723,0.15109034267912771,1.0,0.07999999999999871
9513,oracle_cost_upper_bound,0.5442000000000083,0.9345794392523364,0.06542056074766354,0.176,0.0
9514,simple_decay_memory,0.19876666666666593,0.6706408345752608,0.3293591654247392,0.0,0.0
9514,binary_gate_v242,0.25676666666666914,0.713859910581222,0.28614008941877794,0.198,0.0
9514,continuous_authority,0.4887666666666738,0.886736214605067,0.11326378539493294,0.20933333333333334,0.0
9514,always_deep,0.44455333333333663,0.886736214605067,0.11326378539493294,1.0,0.07999999999999872
9514,oracle_cost_upper_bound,0.5567666666666745,0.9374068554396423,0.06259314456035768,0.18666666666666668,0.0
